district,furnished,ac,kitchen,age,street_width,area,wc,livings,beds,price,year,month,total_rooms
حي الرويس,1,1,1,0,13,170,3,1,2,100000,2021,4,6
حي العزيزية,1,1,1,3,5,20,2,1,2,38000,2021,6,5
حي النهضة,1,1,1,3,5,25,1,1,2,45000,2021,8,4
حي الزمرد,1,1,1,20,5,170,3,1,3,65000,2021,8,7
حي السلامة,1,1,1,0,5,20,1,1,2,42000,2021,11,4
حي الرويس,0,1,1,0,16,150,2,1,2,52000,2021,11,5
حي الرويس,0,1,1,1,5,25,2,1,2,54000,2021,11,5
حي مشرفة,0,1,1,1,5,30,2,1,2,35000,2021,12,5
حي الفيحاء,0,1,1,3,5,170,3,0,4,75000,2021,12,7
حي الحمراء,0,1,1,0,28,40,1,1,1,30000,2022,1,3
حي الشاطئ,1,1,1,0,30,90,2,1,1,130000,2022,1,4
حي الزمرد,1,0,1,8,16,250,4,1,4,160000,2022,1,9
حي الحمراء,1,1,1,0,21,40,1,1,1,37500,2022,2,3
حي الفيحاء,0,1,1,3,16,121,2,1,2,70000,2022,2,5
حي الحمراء,1,1,1,3,16,80,1,1,2,46000,2022,3,4
حي الحمراء,1,1,1,3,17,85,2,1,2,50000,2022,3,5
حي الزهراء,0,1,1,2,16,250,3,1,5,60000,2022,3,9
حي الفيحاء,0,1,0,3,15,150,4,1,3,75000,2022,3,8
حي الشاطئ,0,1,1,7,50,275,5,2,3,230000,2022,3,10
حي ابرق الرغامة,0,0,0,0,25,100,1,0,2,25000,2022,4,3
حي السلامة,0,1,0,3,5,200,4,2,3,60000,2022,4,9
حي الفيحاء,0,1,1,6,5,160,4,1,3,75000,2022,4,8
حي ابحر الجنوبية,0,1,1,4,40,375,5,2,4,200000,2022,4,11
حي طيبة,0,0,1,0,20,250,4,2,6,45000,2022,5,12
حي السلامة,0,0,1,26,32,120,2,1,3,24000,2022,6,6
أخرى,0,0,1,20,5,210,1,0,3,25000,2022,6,4
حي الصالحية,0,0,0,9,15,165,3,1,4,28000,2022,6,8
حي الصالحية,0,0,0,9,16,165,3,1,4,28000,2022,6,8
حي الحمدانية,0,0,1,1,16,150,3,1,4,30000,2022,6,8
حي الريان,0,0,1,5,5,160,3,1,5,33000,2022,6,9
حي الرحمانية,0,0,1,1,16,200,3,1,4,35000,2022,6,8
حي الربوة,0,0,1,25,14,170,2,1,5,37000,2022,6,8
حي البساتين,0,1,0,2,16,190,3,1,5,44000,2022,6,9
حي الصفا,0,0,1,4,21,180,3,1,5,45000,2022,6,9
حي الزهراء,0,0,1,6,12,120,2,1,3,45000,2022,6,6
حي الحمراء,1,1,1,14,20,150,2,2,3,56000,2022,6,7
حي الفيحاء,0,1,1,4,5,170,4,1,4,100000,2022,6,9
حي الشاطئ,1,1,1,10,49,94,2,1,1,120000,2022,6,4
حي الريان,0,0,1,2,5,160,3,1,4,23000,2022,7,8
حي الصفا,0,0,1,10,5,90,2,1,3,24000,2022,7,6
حي الصفا,0,0,1,10,20,125,2,1,3,27000,2022,7,6
حي الفيصلية,0,0,1,2,5,100,2,1,2,27000,2022,7,5
حي الرياض,0,0,0,2,16,180,3,1,5,28000,2022,7,9
حي الفيصلية,0,0,1,2,5,125,2,1,3,28000,2022,7,6
حي المروة,1,1,1,5,32,125,1,1,2,28000,2022,7,4
حي الزمرد,1,1,1,1,15,32,1,1,1,28000,2022,7,3
حي المروة,0,0,0,4,20,180,3,1,5,30000,2022,7,9
حي الصوارى,0,0,0,3,5,120,3,1,5,30000,2022,7,9
حي الحمدانية,0,0,0,0,15,225,3,1,5,32000,2022,7,9
حي الريان,1,1,1,5,15,120,3,1,4,34000,2022,7,8
حي مريخ,0,0,1,0,20,300,3,0,4,35000,2022,7,7
حي الرحمانية,0,1,1,0,16,210,3,1,5,35000,2022,7,9
حي المروة,0,0,0,8,14,150,3,1,5,36000,2022,7,9
حي النهضة,0,0,0,20,15,200,3,1,5,40000,2022,7,9
حي الرويس,0,1,1,1,15,45,1,1,1,45000,2022,7,3
حي ابحر الجنوبية,0,0,1,0,20,130,3,1,4,45000,2022,7,8
حي النهضة,0,0,0,15,15,240,3,3,4,46000,2022,7,10
حي المنار,0,0,1,10,5,240,3,1,7,50000,2022,7,11
حي ابحر الشمالية,1,1,1,0,5,95,2,1,1,50000,2022,7,4
حي الرويس,0,1,1,1,18,90,2,1,2,52000,2022,7,5
حي السلامة,0,1,1,0,5,200,3,1,4,60000,2022,7,8
حي الرويس,1,1,1,1,17,100,2,1,2,72000,2022,7,5
حي الفيحاء,0,1,1,0,5,190,5,2,4,100000,2022,7,11
حي ابرق الرغامة,0,0,1,4,15,180,2,1,3,22000,2022,8,6
حي الصالحية,0,0,1,5,21,100,3,1,4,22000,2022,8,8
حي مشرفة,0,0,1,10,5,115,1,1,2,23000,2022,8,4
حي الصوارى,0,0,1,0,26,150,3,1,4,25000,2022,8,8
حي الشراع,0,1,1,1,26,100,2,1,2,25000,2022,8,5
حي الرياض,0,0,1,0,16,300,3,1,4,25000,2022,8,8
حي السامر,1,0,1,12,30,130,2,1,3,25000,2022,8,6
حي ابرق الرغامة,0,0,1,4,32,180,2,1,4,26000,2022,8,7
حي الرياض,0,0,1,5,5,160,3,1,4,26000,2022,8,8
حي الرياض,0,0,0,0,16,110,3,1,4,26000,2022,8,8
حي المروة,0,0,1,8,32,150,2,1,4,27000,2022,8,7
حي الحمدانية,0,0,1,0,52,330,3,1,3,27000,2022,8,7
حي الرياض,0,0,1,0,25,150,3,1,4,28000,2022,8,8
حي الفردوس,0,0,0,3,20,156,2,1,4,28000,2022,8,7
حي الزمرد,1,1,1,0,25,155,2,1,3,28000,2022,8,6
